match_group_id,primary_break_type,order_ids,txn_ids,utrs,expected_outcome,expected_exception_reason,notes
GRP00001,same_amount_collision,ORD00001|ORD00002,TXN00001|TXN00002,UTR00001|UTR00002,matched,,Equal amount and date collision; narration uniquely identifies both pairs.
GRP00002,clean,ORD00003,TXN00003,UTR00003,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00003,narration_recovery,ORD00004,TXN00004,UTR00004,matched,,Amount has a documented adjustment beyond deterministic tolerance; narration identifies it.
GRP00004,clean,ORD00005,TXN00005,UTR00005,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00005,narration_recovery,ORD00006,TXN00006,UTR00006,matched,,Amount has a documented adjustment beyond deterministic tolerance; narration identifies it.
GRP00006,clean,ORD00007,TXN00007,UTR00007,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00007,timing_lag,ORD00008,TXN00008,UTR00008,matched,,Settlement arrived T+4 instead of T+2.
GRP00008,timing_lag,ORD00009,TXN00009,UTR00009,matched,,Settlement arrived T+5 instead of T+2.
GRP00009,clean,ORD00010,TXN00010,UTR00010,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00010,partial,ORD00011,TXN00011,UTR00011|UTR00012,matched,,One transaction settled in two bank credits whose amounts sum to net.
GRP00011,clean,ORD00012,TXN00012,UTR00013,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00012,clean,ORD00013,TXN00013,UTR00014,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00013,clean,ORD00014,TXN00014,UTR00015,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00014,partial,ORD00015,TXN00015,UTR00016|UTR00017,matched,,One transaction settled in two bank credits whose amounts sum to net.
GRP00015,clean,ORD00016,TXN00016,UTR00018,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00016,orphan,,,UTR00019,exception,bank credit with no matching order,Standalone bank credit with no ledger or gateway record.
GRP00017,orphan,,,UTR00020,exception,bank credit with no matching order,Standalone bank credit with no ledger or gateway record.
GRP00018,timing_lag,ORD00017,TXN00017,UTR00021,matched,,Settlement arrived T+4 instead of T+2.
GRP00019,duplicate,ORD00018,TXN00018|TXN00019,UTR00022,exception,duplicate transaction reference,Two captured gateway records share an order ID; only the first was settled.
GRP00020,clean,ORD00019,TXN00020,UTR00023,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00021,duplicate,ORD00020,TXN00021|TXN00022,UTR00024,exception,duplicate transaction reference,Two captured gateway records share an order ID; only the first was settled.
GRP00022,timing_lag,ORD00021,TXN00023,UTR00025,matched,,Settlement arrived T+5 instead of T+2.
GRP00023,clean,ORD00022,TXN00024,UTR00026,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00024,partial,ORD00023,TXN00025,UTR00027|UTR00028,matched,,One transaction settled in two bank credits whose amounts sum to net.
GRP00025,batched,ORD00024|ORD00025|ORD00026|ORD00027,TXN00026|TXN00027|TXN00028|TXN00029,UTR00029,matched,,Multiple gateway transactions combined into one bank credit.
GRP00026,narration_recovery,ORD00028,TXN00030,UTR00030,matched,,Amount has a documented adjustment beyond deterministic tolerance; narration identifies it.
GRP00027,clean,ORD00029,TXN00031,UTR00031,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00028,clean,ORD00030,TXN00032,UTR00032,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00029,agent_disagreement,ORD00031,TXN00033,UTR00033,exception,conflicting bank narration,Narration conflicts with the order evidence; proposer and verifier must escalate.
GRP00030,clean,ORD00032,TXN00034,UTR00034,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00031,agent_disagreement,ORD00033,TXN00035,UTR00035,exception,conflicting bank narration,Narration conflicts with the order evidence; proposer and verifier must escalate.
GRP00032,timing_lag,ORD00034,TXN00036,UTR00036,matched,,Settlement arrived T+4 instead of T+2.
GRP00033,clean,ORD00035,TXN00037,UTR00037,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00034,duplicate,ORD00036,TXN00038|TXN00039,UTR00038,exception,duplicate transaction reference,Two captured gateway records share an order ID; only the first was settled.
GRP00035,clean,ORD00037,TXN00040,UTR00039,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00036,clean,ORD00038,TXN00041,UTR00040,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00037,rounding,ORD00039,TXN00042,UTR00041,matched,,Bank settlement differs from gateway net by -1 paise.
GRP00038,batched,ORD00040|ORD00041|ORD00042|ORD00043|ORD00044,TXN00043|TXN00044|TXN00045|TXN00046|TXN00047,UTR00042,matched,,Multiple gateway transactions combined into one bank credit.
GRP00039,clean,ORD00045,TXN00048,UTR00043,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00040,same_amount_collision,ORD00046|ORD00047,TXN00049|TXN00050,UTR00044|UTR00045,matched,,Equal amount and date collision; narration uniquely identifies both pairs.
GRP00041,batched,ORD00048|ORD00049|ORD00050|ORD00051,TXN00051|TXN00052|TXN00053|TXN00054,UTR00046,matched,,Multiple gateway transactions combined into one bank credit.
GRP00042,duplicate,ORD00052,TXN00055|TXN00056,UTR00047,exception,duplicate transaction reference,Two captured gateway records share an order ID; only the first was settled.
GRP00043,partial,ORD00053,TXN00057,UTR00048|UTR00049,matched,,One transaction settled in two bank credits whose amounts sum to net.
GRP00044,narration_recovery,ORD00054,TXN00058,UTR00050,matched,,Amount has a documented adjustment beyond deterministic tolerance; narration identifies it.
GRP00045,clean,ORD00055,TXN00059,UTR00051,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00046,rounding,ORD00056,TXN00060,UTR00052,matched,,Bank settlement differs from gateway net by +1 paise.
GRP00047,clean,ORD00057,TXN00061,UTR00053,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00048,rounding,ORD00058,TXN00062,UTR00054,matched,,Bank settlement differs from gateway net by -1 paise.
GRP00049,orphan,,,UTR00055,exception,bank credit with no matching order,Standalone bank credit with no ledger or gateway record.
GRP00050,duplicate,ORD00059,TXN00063|TXN00064,UTR00056,exception,duplicate transaction reference,Two captured gateway records share an order ID; only the first was settled.
GRP00051,clean,ORD00060,TXN00065,UTR00057,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00052,timing_lag,ORD00061,TXN00066,UTR00058,matched,,Settlement arrived T+4 instead of T+2.
