tier,rule_name,agent_review_status,reason_code,explanation,proposer_output,verifier_output,order_ids,txn_ids,utrs,confidence
1,duplicate_detect,not_invoked_deterministic_control,duplicate_capture_human_void_required,Multiple gateway captures share one order; a human must identify the retry to void.,,,ORD00018,TXN00018|TXN00019,UTR00022,0.0
1,duplicate_detect,not_invoked_deterministic_control,duplicate_capture_human_void_required,Multiple gateway captures share one order; a human must identify the retry to void.,,,ORD00020,TXN00021|TXN00022,UTR00024,0.0
1,duplicate_detect,not_invoked_deterministic_control,duplicate_capture_human_void_required,Multiple gateway captures share one order; a human must identify the retry to void.,,,ORD00036,TXN00038|TXN00039,UTR00038,0.0
1,duplicate_detect,not_invoked_deterministic_control,duplicate_capture_human_void_required,Multiple gateway captures share one order; a human must identify the retry to void.,,,ORD00052,TXN00055|TXN00056,UTR00047,0.0
1,duplicate_detect,not_invoked_deterministic_control,duplicate_capture_human_void_required,Multiple gateway captures share one order; a human must identify the retry to void.,,,ORD00059,TXN00063|TXN00064,UTR00056,0.0
1,duplicate_detect,not_invoked_deterministic_control,duplicate_capture_human_void_required,Multiple gateway captures share one order; a human must identify the retry to void.,,,ORD00067,TXN00072|TXN00073,UTR00064,0.0
1,duplicate_detect,not_invoked_deterministic_control,duplicate_capture_human_void_required,Multiple gateway captures share one order; a human must identify the retry to void.,,,ORD00092,TXN00098|TXN00099,UTR00087,0.0
1,duplicate_detect,not_invoked_deterministic_control,duplicate_capture_human_void_required,Multiple gateway captures share one order; a human must identify the retry to void.,,,ORD00106,TXN00113|TXN00114,UTR00105,0.0
1,orphan_detect,not_invoked_deterministic_control,bank_credit_with_no_matching_order,Bank credit has no reconcilable ledger or gateway transaction.,,,,,UTR00019,0.0
1,orphan_detect,not_invoked_deterministic_control,bank_credit_with_no_matching_order,Bank credit has no reconcilable ledger or gateway transaction.,,,,,UTR00020,0.0
1,orphan_detect,not_invoked_deterministic_control,bank_credit_with_no_matching_order,Bank credit has no reconcilable ledger or gateway transaction.,,,,,UTR00055,0.0
1,orphan_detect,not_invoked_deterministic_control,bank_credit_with_no_matching_order,Bank credit has no reconcilable ledger or gateway transaction.,,,,,UTR00077,0.0
1,orphan_detect,not_invoked_deterministic_control,bank_credit_with_no_matching_order,Bank credit has no reconcilable ledger or gateway transaction.,,,,,UTR00102,0.0
1,orphan_detect,not_invoked_deterministic_control,bank_credit_with_no_matching_order,Bank credit has no reconcilable ledger or gateway transaction.,,,,,UTR00112,0.0
2,agent_verifier_disagreement,invoked,proposer_verifier_disagreement,Proposer linked narration identifiers TXN00006 to TXN00006. Verifier rejected: references must be TXN00006 and ORD00006.,Proposer linked narration identifiers TXN00006 to TXN00006.,Rejected: references must be TXN00006 and ORD00006.,ORD00006,TXN00006,UTR00006,0.35
2,agent_verifier_disagreement,invoked,proposer_verifier_disagreement,Proposer linked narration identifiers TXN00030 to TXN00030. Verifier rejected: references must be TXN00030 and ORD00028.,Proposer linked narration identifiers TXN00030 to TXN00030.,Rejected: references must be TXN00030 and ORD00028.,ORD00028,TXN00030,UTR00030,0.35
2,agent_verifier_disagreement,invoked,proposer_verifier_disagreement,"Proposer linked narration identifiers TXN99999, ORD00033 to TXN00035. Verifier rejected: references must be TXN00035 and ORD00033; documented adjustment +0 does not equal drift +100 paise.","Proposer linked narration identifiers TXN99999, ORD00033 to TXN00035.",Rejected: references must be TXN00035 and ORD00033; documented adjustment +0 does not equal drift +100 paise.,ORD00033,TXN00035,UTR00035,0.35
2,agent_verifier_disagreement,invoked,proposer_verifier_disagreement,"Proposer linked narration identifiers TXN99999, ORD00031 to TXN00033. Verifier rejected: references must be TXN00033 and ORD00031; documented adjustment +0 does not equal drift +100 paise.","Proposer linked narration identifiers TXN99999, ORD00031 to TXN00033.",Rejected: references must be TXN00033 and ORD00031; documented adjustment +0 does not equal drift +100 paise.,ORD00031,TXN00033,UTR00033,0.35
2,agent_verifier_disagreement,invoked,proposer_verifier_disagreement,Proposer linked narration identifiers TXN00004 to TXN00004. Verifier rejected: references must be TXN00004 and ORD00004.,Proposer linked narration identifiers TXN00004 to TXN00004.,Rejected: references must be TXN00004 and ORD00004.,ORD00004,TXN00004,UTR00004,0.35
2,agent_verifier_disagreement,invoked,proposer_verifier_disagreement,"Proposer linked narration identifiers TXN99999, ORD00104 to TXN00111. Verifier rejected: references must be TXN00111 and ORD00104; documented adjustment +0 does not equal drift +100 paise.","Proposer linked narration identifiers TXN99999, ORD00104 to TXN00111.",Rejected: references must be TXN00111 and ORD00104; documented adjustment +0 does not equal drift +100 paise.,ORD00104,TXN00111,UTR00103,0.35
2,agent_verifier_disagreement,invoked,proposer_verifier_disagreement,"Proposer linked narration identifiers TXN99999, ORD00070 to TXN00076. Verifier rejected: references must be TXN00076 and ORD00070; documented adjustment +0 does not equal drift +100 paise.","Proposer linked narration identifiers TXN99999, ORD00070 to TXN00076.",Rejected: references must be TXN00076 and ORD00070; documented adjustment +0 does not equal drift +100 paise.,ORD00070,TXN00076,UTR00067,0.35
